,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
126,127,[gte-large](https://huggingface.co/thenlper/gte-large),639,335M,1024,512,,,
127,128,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),127,33M,384,512,,,
128,129,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),522,Unknown,768,8192,,,
129,130,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),Unknown,Unknown,4096,Unknown,,,
130,131,[gte-small](https://huggingface.co/thenlper/gte-small),64,33M,384,512,,,
131,132,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),420,110M,768,512,,,
132,133,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),127,32M,384,512,,,
133,134,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),87,22M,384,512,,,
134,135,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),1659,434M,1024,514,,,
135,136,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),73,19M,384,512,,,
136,137,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),204,107M,384,512,,,
137,138,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),127,33M,384,512,,,
138,139,[e5-small](https://huggingface.co/intfloat/e5-small),127,33M,384,512,,,
139,140,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),127,33M,384,512,,,
140,141,[KartonBERT-USE-base-v1](https://huggingface.co/OrlikB/KartonBERT-USE-base-v1),396,103M,768,512,,,
141,142,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),1540,404M,1024,512,,,
142,143,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),1796,470M,768,512,,,
143,144,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),449,117M,384,512,,,
144,145,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),1061,278M,768,514,,,
145,146,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),1061,Unknown,768,514,,,
146,147,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),522,137M,768,8192,,,
147,148,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),490,129M,768,512,,,
148,149,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),2136,559M,1024,514,,,
149,150,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),66,17M,384,512,,,
150,151,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),134,35M,512,512,,,
151,152,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),66,17M,384,512,,,
152,153,[st-polish-kartonberta-base-alpha-v1](https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1),Unknown,Unknown,768,514,,,
153,154,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),475,124M,768,514,,,
154,155,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),60,15M,384,512,,,
155,156,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),86,22M,384,512,,,
156,157,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),492,129M,768,512,,,
157,158,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),66,17M,384,512,,,
158,159,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),1061,278M,768,514,,,
159,160,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),Unknown,Unknown,1024,512,,,
160,161,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),1061,278M,768,514,,,
161,162,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),449,117M,384,512,,,
162,163,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),1281,335M,1024,512,,,
163,164,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),60,15M,384,512,,,
164,165,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),13563,7B,Unknown,32768,,,
165,166,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),111,29M,312,2048,,,
166,167,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),516,135M,768,512,,,
167,168,[USER-base](https://huggingface.co/deepvk/USER-base),473,427M,768,512,,,
168,169,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),418,109M,768,514,,,
169,170,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),516,135M,768,512,,,
170,171,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),621,162M,768,512,,,
171,172,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),112,29M,312,2048,,,
172,173,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),408,107M,768,512,,,
173,174,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),45,11M,312,512,,,
174,175,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),1629,427M,1024,512,,,
175,176,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),1629,427M,1024,512,,,
176,177,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),9560,2B,2048,8192,,,
177,178,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),158,98M,1024,512,,,
178,179,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),408,107M,768,512,,,
179,180,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),473,124M,768,512,,,
180,181,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),4883,1B,768,512,,,
